"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"tqwt_kurtosisValue_dec_27",-0.00625084271053847,0.99151140414123,0.993768653163725,0.996031040980517,0.690061349693251,0.620368098159509,0.718773006134969,0.662754898040784,0.68,0.714646141543383,0.0867208679960601,0.459016393442623,4.81211205979432,3.75980702271497,0.25
"std_Log_energy",0.0705738833777622,1.0437438648674,1.07312385251681,1.10333084735,0.667757327880028,0.69270620313565,0.706203135650989,0.690965835887867,0.688830023546137,0.721237060731263,0.0948882229023902,0.465027322404372,4.80032565732837,3.89037754343928,0.9
"tqwt_meanValue_dec_11",0.000326867935554251,1.00019489710861,1.0003269213627,1.0004589630438,0.613496932515337,0.65920245398773,0.707361963190184,0.652738904438225,0.667483006797281,0.721111555377849,0.0841817111021006,0.605737704918033,4.75141927683947,5.08229151065367,0.2
"std_12th_delta_delta",0.0645564195488282,1.03929810066269,1.0666857584762,1.09479513780544,0.657941376959781,0.653578732106339,0.681935923653715,0.671633568794704,0.685992269758763,0.711773068550358,0.0873994150526516,0.563570127504554,4.73233557974674,4.65459659618283,0.45
"std_10th_delta",0.127979515344823,1.07864002624111,1.13652972103917,1.19752630662775,0.655444785276073,0.684355828220859,0.706748466257669,0.680660235905638,0.70078343662535,0.729405737704918,0.0860871755619437,0.43094262295082,4.66556764093326,3.51721527406521,0.8
"tqwt_kurtosisValue_dec_35",0.0538238707144238,1.03212594318413,1.05529871677658,1.07899175384996,0.643496932515337,0.701717791411043,0.749693251533742,0.667678928428629,0.720498800479808,0.760563774490204,0.0793985323480888,0.60344262295082,4.66247737951999,5.02437379703605,1
"std_MFCC_8th_coef",0.124539747404905,1.07558892208304,1.13262703855107,1.19268986702889,0.652848378615249,0.670552147239264,0.714811568799299,0.672318215570914,0.688655966184955,0.740546638487462,0.0830172216080593,0.564168618266979,4.63370017189502,4.64194257912313,0.7
"tqwt_kurtosisValue_dec_36",0.0310687688946873,1.01830763115053,1.0315564404436,1.04497762490338,0.677914110429447,0.701533742331288,0.740061349693251,0.709212315073971,0.719080367852859,0.753724510195922,0.0845372825440933,0.720491803278688,4.6169529199266,6.14446728626144,1
"IMF_NSR_TKEO",-0.0464225254749936,0.936303907914262,0.954638517870755,0.973332154335004,0.624948875255624,0.711111111111111,0.773415132924335,0.593635878981741,0.722986361011151,0.787098493935759,0.0730794898834882,0.463023679417122,4.57506205314666,3.79331279227389,0.45
"tqwt_kurtosisValue_dec_28",-0.00812574737417051,0.988472844887521,0.991907177271552,0.995353441838631,0.678732106339468,0.682822085889571,0.71881390593047,0.671488071438092,0.708226709316274,0.739557510329202,0.0790568284359705,0.60655737704918,4.47736396334469,5.03721948235881,0.3
"tqwt_TKEO_mean_dec_11",-0.0034061961729236,0.995155668994671,0.99659959833232,0.998045622751168,0.640490797546012,0.668098159509202,0.71319018404908,0.647291083566573,0.679093362654938,0.739174330267893,0.0757459548920859,0.482786885245902,4.44974721282587,3.95470263004284,0.2
"tqwt_maxValue_dec_1",-0.00541168886754594,0.9922480124784,0.994602927941559,0.996963432357045,0.6359918200409,0.669938650306749,0.693660531697342,0.675323204051713,0.675329868052779,0.714927362388378,0.075640076554167,0.547540983606557,4.36863510476086,4.57808212936664,0.15
"tqwt_kurtosisValue_dec_34",0.0123915451007167,1.00674891411383,1.01246863840165,1.01822085862314,0.620858895705522,0.68,0.731779141104294,0.641139544182327,0.698460615753698,0.741147540983607,0.0658147918327068,0.517377049180328,4.22138701498382,4.23701720958947,0.25
"tqwt_kurtosisValue_dec_17",0.0234979265712049,1.01275094738226,1.02377617801742,1.03492143392718,0.628629856850716,0.674846625766871,0.739877300613497,0.673104091696655,0.707756897241104,0.760375849660136,0.0602046375506514,0.413114754098361,4.18015295438065,3.43071763927563,0.15
"f1",-0.0121533823572507,0.98233538453348,0.987920171715645,0.993536709609798,0.595705521472393,0.647852760736196,0.676687116564417,0.596321471411435,0.67407037185126,0.708716513394642,0.0669855481065463,0.29344262295082,4.07600719704152,2.34450053134,0.1
"tqwt_kurtosisValue_dec_33",0.0102900990073927,1.00540657293448,1.01034322414078,1.01530411481974,0.537832310838446,0.710429447852761,0.748057259713702,0.58707850193256,0.719652139144342,0.752885512461682,0.0579717071587032,0.514754098360656,3.97560316010894,4.25284023029926,0.15
"mean_MFCC_2nd_coef",0.00631110757469444,1.00322723573535,1.00633106457561,1.00944449617896,0.686503067484663,0.708588957055215,0.761963190184049,0.653738504598161,0.728408636545382,0.764874050379848,0.0571096787770025,0.550819672131148,3.81312401015636,4.5646984788718,0.1
